"DATE","NEW_IN","AVERAGE"
"2020-03-15",70,10
"2020-03-16",88,22.571428571428573
"2020-03-17",125,40.42857142857143
"2020-03-18",179,66
"2020-03-19",213,96.42857142857143
"2020-03-20",294,138.42857142857142
"2020-03-21",322,184.42857142857142
"2020-03-22",278,214.14285714285714
"2020-03-23",268,239.85714285714286
"2020-03-24",420,282
"2020-03-25",543,334
"2020-03-26",494,374.14285714285717
"2020-03-27",587,416
"2020-03-28",642,461.7142857142857
"2020-03-29",545,499.85714285714283
"2020-03-30",486,531
"2020-03-31",550,549.5714285714286
"2020-04-01",599,557.5714285714286
"2020-04-02",572,568.7142857142857
"2020-04-03",502,556.5714285714286
"2020-04-04",502,536.5714285714286
"2020-04-05",360,510.14285714285717
"2020-04-06",324,487
"2020-04-07",475,476.2857142857143
"2020-04-08",464,457
"2020-04-09",467,442
"2020-04-10",431,431.85714285714283
"2020-04-11",392,416.14285714285717
"2020-04-12",277,404.2857142857143
"2020-04-13",244,392.85714285714283
"2020-04-14",253,361.14285714285717
"2020-04-15",317,340.14285714285717
"2020-04-16",313,318.14285714285717
"2020-04-17",306,300.2857142857143
"2020-04-18",265,282.14285714285717
"2020-04-19",227,275
"2020-04-20",184,266.42857142857144
"2020-04-21",262,267.7142857142857
"2020-04-22",216,253.28571428571428
"2020-04-23",204,237.71428571428572
"2020-04-24",221,225.57142857142858
"2020-04-25",203,216.71428571428572
"2020-04-26",130,202.85714285714286
"2020-04-27",129,195
"2020-04-28",165,181.14285714285714
"2020-04-29",185,176.71428571428572
"2020-04-30",153,169.42857142857142
"2020-05-01",134,157
"2020-05-02",82,139.71428571428572
"2020-05-03",62,130
"2020-05-04",92,124.71428571428571
"2020-05-05",123,118.71428571428571
"2020-05-06",101,106.71428571428571
"2020-05-07",122,102.28571428571429
"2020-05-08",79,94.42857142857143
"2020-05-09",85,94.85714285714286
"2020-05-10",62,94.85714285714286
"2020-05-11",48,88.57142857142857
"2020-05-12",74,81.57142857142857
"2020-05-13",83,79
"2020-05-14",66,71
"2020-05-15",65,69
"2020-05-16",62,65.71428571428571
"2020-05-17",45,63.285714285714285
"2020-05-18",52,63.857142857142854
"2020-05-19",59,61.714285714285715
"2020-05-20",77,60.857142857142854
"2020-05-21",63,60.42857142857143
"2020-05-22",37,56.42857142857143
"2020-05-23",56,55.57142857142857
"2020-05-24",31,53.57142857142857
"2020-05-25",39,51.714285714285715
"2020-05-26",39,48.857142857142854
"2020-05-27",53,45.42857142857143
"2020-05-28",28,40.42857142857143
"2020-05-29",28,39.142857142857146
"2020-05-30",42,37.142857142857146
"2020-05-31",26,36.42857142857143
"2020-06-01",29,35
"2020-06-02",36,34.57142857142857
"2020-06-03",22,30.142857142857142
"2020-06-04",34,31
"2020-06-05",30,31.285714285714285
"2020-06-06",23,28.571428571428573
"2020-06-07",24,28.285714285714285
"2020-06-08",18,26.714285714285715
"2020-06-09",24,25
"2020-06-10",20,24.714285714285715
"2020-06-11",33,24.571428571428573
"2020-06-12",25,23.857142857142858
"2020-06-13",11,22.142857142857142
"2020-06-14",16,21
"2020-06-15",12,20.142857142857142
"2020-06-16",27,20.571428571428573
"2020-06-17",19,20.428571428571427
"2020-06-18",21,18.714285714285715
"2020-06-19",21,18.142857142857142
"2020-06-20",18,19.142857142857142
"2020-06-21",12,18.571428571428573
"2020-06-22",14,18.857142857142858
