"Date","Region","Province","AgeGroup","Gender","PartlyVaccinated","FullyVaccinated"
2020-12-28,"Brussels",NA,NA,NA,56,0
2020-12-28,"Flanders",NA,NA,NA,123,0
2020-12-28,"Wallonia",NA,NA,NA,119,0
2020-12-29,"Flanders",NA,NA,NA,1,0
2020-12-30,"Brussels",NA,NA,NA,5,0
2020-12-30,"Flanders",NA,NA,NA,461,0
2020-12-30,"Wallonia",NA,NA,NA,1,0
2020-12-31,"Flanders",NA,NA,NA,9,0
2021-01-01,"Flanders",NA,NA,NA,9,0
2021-01-04,"Flanders",NA,NA,NA,1,0
2021-01-05,"Brussels",NA,NA,NA,575,0
2021-01-05,"Flanders",NA,NA,NA,33,0
2021-01-05,NA,NA,NA,NA,1,0
2021-01-05,"Wallonia",NA,NA,NA,886,0
2021-01-06,"Brussels",NA,NA,NA,959,0
2021-01-06,"Flanders",NA,NA,NA,714,0
2021-01-06,NA,NA,NA,NA,19,0
2021-01-06,"Wallonia",NA,NA,NA,1916,0
2021-01-07,"Brussels",NA,NA,NA,855,0
2021-01-07,"Flanders",NA,NA,NA,2134,0
2021-01-07,NA,NA,NA,NA,43,0
2021-01-07,"Wallonia",NA,NA,NA,4786,0
2021-01-08,"Brussels",NA,NA,NA,1214,0
2021-01-08,"Flanders",NA,NA,NA,2858,0
2021-01-08,NA,NA,NA,NA,14,0
2021-01-08,"Wallonia",NA,NA,NA,4875,0
2021-01-09,"Brussels",NA,NA,NA,1,0
2021-01-09,"Flanders",NA,NA,NA,3070,0
2021-01-09,"Wallonia",NA,NA,NA,36,0
2021-01-10,"Brussels",NA,NA,NA,11,0
2021-01-10,"Flanders",NA,NA,NA,346,0
2021-01-10,"Wallonia",NA,NA,NA,36,0
2021-01-11,"Brussels",NA,NA,NA,10,0
2021-01-11,"Flanders",NA,NA,NA,3670,0
2021-01-11,NA,NA,NA,NA,29,0
2021-01-11,"Wallonia",NA,NA,NA,1633,0
2021-01-12,"Brussels",NA,NA,NA,975,0
2021-01-12,"Flanders",NA,NA,NA,7134,0
2021-01-12,NA,NA,NA,NA,72,0
2021-01-12,"Wallonia",NA,NA,NA,6103,0
2021-01-13,"Brussels",NA,NA,NA,2873,0
2021-01-13,"Flanders",NA,NA,NA,8980,0
2021-01-13,NA,NA,NA,NA,63,0
2021-01-13,"Wallonia",NA,NA,NA,7108,0
2021-01-14,"Brussels",NA,NA,NA,1671,0
2021-01-14,"Flanders",NA,NA,NA,11838,0
2021-01-14,NA,NA,NA,NA,47,0
2021-01-14,"Wallonia",NA,NA,NA,6494,0
2021-01-15,"Brussels",NA,NA,NA,774,0
2021-01-15,"Flanders",NA,NA,NA,13502,0
2021-01-15,NA,NA,NA,NA,51,0
2021-01-15,"Wallonia",NA,NA,NA,6205,0
2021-01-16,"Brussels",NA,NA,NA,7,0
2021-01-16,"Flanders",NA,NA,NA,4049,0
2021-01-16,"Wallonia",NA,NA,NA,301,0
2021-01-17,"Brussels",NA,NA,NA,4,0
2021-01-17,"Flanders",NA,NA,NA,2505,0
2021-01-17,NA,NA,NA,NA,4,0
2021-01-18,"Brussels",NA,NA,NA,99,0
2021-01-18,"Flanders",NA,NA,NA,5031,109
2021-01-18,NA,NA,NA,NA,14,0
2021-01-18,"Wallonia",NA,NA,NA,3493,0
2021-01-19,"Brussels",NA,NA,NA,1087,51
2021-01-19,"Flanders",NA,NA,NA,7704,8
2021-01-19,NA,NA,NA,NA,13,0
2021-01-19,"Wallonia",NA,NA,NA,3829,42
2021-01-20,"Brussels",NA,NA,NA,360,0
2021-01-20,"Flanders",NA,NA,NA,4943,70
2021-01-20,NA,NA,NA,NA,7,0
2021-01-20,"Wallonia",NA,NA,NA,2909,0
